Name,Medium,Year,Creator
Darth Vader,Star Wars Episode IV: A New Hope,1977,George Lucas
Sauron,The Fellowship of the Ring,1954,J.R.R. Tolkien
Harry Potter,Harry Potter and the Philosopher's Stone,1997,J.K Rowling
Hermione Granger,Harry Potter and the Order of the Phoenix,2003,J.K Rowling
Neo,The Matrix,1999,The Wachowskis
The Wizard of Oz,The Wizard of Oz,1939,L. Frank Braum
Mickey Mouse,Fantasia,1940,Walt Disney
Darth Plagueis The Wise,Star Wars Episode III: Revenge of the Sith,2005,George Lucas
Gandalf,The Fellowship of the Ring,1954,J.R.R. Tolkien
Yoda,Star Wars,1977,George Lucas
Ronald Weasley,Harry Potter and the Philosopher's Stone,1997,J.K Rowling
Stephen Strange,Doctor Strange,2016,Stan Lee
Voldemort,Harry Potter and the Prisoner of Azkaban,1999,J.K Rowling
